State_name,State_FIPS,Year,Total_population,Total_households,Female_population,Male_population,Median_age,Median_household_income_past_12m,Bachelor_degree,Master_degree,Professional_degree,Doctorate_degree,Num_employed,Num_unemployed,Labor_force,Avg_household_size,Median_value_owner_occupied_housing,Median_gross_rent,Households_no_internet,Households_internet_subscription,Households_solar_energy_fuel,Num_under_18,Num_18_to_34,Num_35_to_64,Num_65_more,Num_industry_agriculture_fishing_hunting
Mississippi,28,2011,2978512.0,1080991.0,1531878.0,1446634.0,36.1,36919.0,240726.0,95403.0,25780.0,17716.0,1181295.0,151170.0,1332465.0,2.67,99900.0,689.0,,,34.0,208575.0,75360.0,183960.0,54865.0,23906.0
Missouri,29,2011,6010688.0,2341074.0,3064932.0,2945756.0,38.0,45247.0,656222.0,278278.0,67613.0,42869.0,2742057.0,284895.0,3026952.0,2.49,136900.0,708.0,,,376.0,394172.0,132954.0,367886.0,120593.0,45290.0
Montana,30,2011,998199.0,404250.0,497888.0,500311.0,39.7,44222.0,132946.0,38774.0,10426.0,8772.0,479988.0,41325.0,521313.0,2.4,184100.0,650.0,,,60.0,64544.0,20725.0,56510.0,24291.0,26637.0
Nebraska,31,2011,1842641.0,723800.0,930145.0,912496.0,36.3,50296.0,225822.0,73911.0,19852.0,14542.0,943643.0,63231.0,1006874.0,2.48,127400.0,673.0,,,44.0,135791.0,41908.0,111856.0,33114.0,44720.0
Nevada,32,2011,2723322.0,982352.0,1350572.0,1372750.0,36.7,48927.0,269461.0,90902.0,31897.0,14615.0,1204882.0,174677.0,1379559.0,2.74,158000.0,936.0,,,464.0,193565.0,50961.0,195731.0,56637.0,6759.0
New Hampshire,33,2011,1318194.0,516454.0,667134.0,651060.0,41.5,62647.0,191748.0,84488.0,14658.0,14419.0,684806.0,50560.0,735366.0,2.47,237500.0,939.0,,,280.0,73633.0,30448.0,86195.0,28489.0,5206.0
New Jersey,34,2011,8821155.0,3167629.0,4522613.0,4298542.0,39.2,67458.0,1322225.0,569427.0,138976.0,88275.0,4152513.0,509682.0,4662195.0,2.73,324900.0,1135.0,,,332.0,554534.0,185206.0,599678.0,170279.0,14959.0
New Mexico,35,2011,2082224.0,767285.0,1045666.0,1036558.0,36.6,41963.0,195527.0,102579.0,21793.0,26096.0,869773.0,109626.0,979399.0,2.66,159000.0,729.0,,,2243.0,147347.0,47281.0,123530.0,41761.0,20264.0
New York,36,2011,19465197.0,7187938.0,10027190.0,9438007.0,38.1,55246.0,2467536.0,1342831.0,356937.0,178363.0,8959015.0,948435.0,9907450.0,2.63,285300.0,1058.0,,,2728.0,1185755.0,450011.0,1260585.0,365662.0,47160.0
North Carolina,37,2011,9656401.0,3683364.0,4968558.0,4687843.0,37.7,43916.0,1136478.0,417351.0,95066.0,73579.0,4195808.0,555887.0,4751695.0,2.55,153700.0,745.0,,,737.0,632093.0,228149.0,646398.0,194174.0,53688.0
North Dakota,38,2011,683932.0,283440.0,339988.0,343944.0,36.6,51704.0,86615.0,21053.0,6100.0,4132.0,370830.0,12011.0,382841.0,2.32,128600.0,626.0,,,110.0,43906.0,19895.0,38544.0,12534.0,23632.0
Ohio,39,2011,11544951.0,4538555.0,5903423.0,5641528.0,39.1,45749.0,1196897.0,513723.0,120297.0,79828.0,5213453.0,606934.0,5820387.0,2.48,129600.0,692.0,,,1080.0,747386.0,258083.0,720603.0,229432.0,39858.0
Oklahoma,40,2011,3791508.0,1442731.0,1913665.0,1877843.0,36.3,43225.0,396219.0,136076.0,32423.0,23367.0,1681759.0,136930.0,1818689.0,2.55,112600.0,675.0,,,35.0,267523.0,90013.0,236024.0,75094.0,27022.0
Oregon,41,2011,3871859.0,1516979.0,1957743.0,1914116.0,38.7,46816.0,486317.0,200641.0,53434.0,35429.0,1710336.0,232635.0,1942971.0,2.5,232900.0,840.0,,,822.0,242778.0,81661.0,255379.0,85950.0,56867.0
Pennsylvania,42,2011,12742886.0,4937333.0,6526048.0,6216838.0,40.3,50228.0,1443083.0,643588.0,158025.0,104977.0,5853320.0,605594.0,6458914.0,2.49,164800.0,786.0,,,1545.0,750592.0,299615.0,785850.0,264680.0,53164.0
Rhode Island,44,2011,1051302.0,412259.0,542906.0,508396.0,39.5,53636.0,134049.0,63669.0,15150.0,8944.0,511235.0,58581.0,569816.0,2.45,245500.0,875.0,,,75.0,59677.0,27466.0,65869.0,20662.0,2611.0
South Carolina,45,2011,4679230.0,1768834.0,2404948.0,2274282.0,38.0,42367.0,486569.0,189771.0,44678.0,27657.0,1968925.0,266294.0,2235219.0,2.57,136000.0,741.0,,,233.0,303882.0,119707.0,300066.0,105348.0,21975.0
South Dakota,46,2011,824082.0,323215.0,413577.0,410505.0,37.1,48321.0,97956.0,31868.0,6036.0,5774.0,415623.0,24107.0,439730.0,2.44,131400.0,612.0,,,64.0,58463.0,19480.0,49073.0,17434.0,27073.0
Tennessee,47,2011,6403353.0,2467428.0,3284402.0,3118951.0,38.3,41693.0,655551.0,242616.0,65244.0,50487.0,2784462.0,328545.0,3113007.0,2.53,138300.0,715.0,,,690.0,404355.0,139092.0,416483.0,135709.0,26960.0
Texas,48,2011,25674681.0,8850370.0,12933519.0,12741162.0,33.7,49392.0,2847501.0,995078.0,244266.0,160834.0,11455069.0,1065274.0,12520343.0,2.84,127700.0,813.0,,,1900.0,2013196.0,606986.0,1751514.0,429599.0,108715.0
Vermont,50,2011,626431.0,257358.0,318038.0,308393.0,42.0,52776.0,93188.0,43266.0,9837.0,7599.0,327302.0,22416.0,349718.0,2.34,213700.0,849.0,,,98.0,32148.0,16459.0,38826.0,14354.0,8822.0
Utah,49,2011,2817222.0,884253.0,1399583.0,1417639.0,29.6,55869.0,322983.0,108782.0,26231.0,20570.0,1260806.0,109279.0,1370085.0,3.13,207500.0,822.0,,,362.0,268822.0,63677.0,177869.0,38681.0,9377.0
Virginia,51,2011,8096604.0,2990650.0,4117825.0,3978779.0,37.6,61882.0,1111225.0,575887.0,133180.0,83202.0,3860131.0,315567.0,4175698.0,2.63,243100.0,1062.0,,,367.0,516237.0,191769.0,547198.0,156116.0,30517.0
Washington,53,2011,6830038.0,2632621.0,3421977.0,3408061.0,37.3,56835.0,925095.0,384232.0,90773.0,60904.0,3117998.0,359745.0,3477743.0,2.54,256300.0,930.0,,,951.0,448080.0,144240.0,461100.0,140192.0,76107.0
West Virginia,54,2011,1855364.0,735408.0,940890.0,914474.0,41.4,38482.0,150916.0,62407.0,15973.0,9745.0,748558.0,72809.0,821367.0,2.46,99300.0,599.0,,,74.0,108786.0,40238.0,117420.0,45651.0,6900.0
Wisconsin,55,2011,5711767.0,2275352.0,2876635.0,2835132.0,38.7,50395.0,668444.0,249480.0,59397.0,36992.0,2819477.0,250654.0,3070131.0,2.44,166700.0,739.0,,,765.0,363815.0,128422.0,358015.0,113179.0,68023.0
Wyoming,56,2011,568158.0,222539.0,278742.0,289416.0,36.8,56322.0,61815.0,23028.0,4735.0,3270.0,289976.0,15553.0,305529.0,2.49,179900.0,759.0,,,139.0,37380.0,13375.0,34030.0,11934.0,8425.0
Puerto Rico,72,2011,3706690.0,1256151.0,1936466.0,1770224.0,37.5,18660.0,416008.0,102061.0,31081.0,20401.0,1102866.0,250105.0,1352971.0,2.92,120300.0,442.0,,,7416.0,224654.0,90876.0,232229.0,83535.0,14071.0
Alabama,01,2012,4822023.0,1845169.0,2485732.0,2336291.0,38.2,41574.0,472037.0,193901.0,50713.0,30508.0,2001628.0,222017.0,2223645.0,2.55,123200.0,689.0,,,81.0,313667.0,110541.0,301980.0,109512.0,23951.0
Alaska,02,2012,731449.0,251651.0,350355.0,381094.0,33.8,67712.0,79559.0,36321.0,8545.0,5699.0,351496.0,29864.0,381360.0,2.8,245100.0,1120.0,,,50.0,54626.0,17845.0,49862.0,11671.0,5231.0
Arizona,04,2012,6553255.0,2392168.0,3292568.0,3260687.0,36.6,47826.0,735758.0,310661.0,77074.0,47093.0,2757652.0,300531.0,3058183.0,2.68,151500.0,888.0,,,2859.0,459729.0,146031.0,419284.0,147285.0,25216.0
Arkansas,05,2012,2949131.0,1143859.0,1499866.0,1449265.0,37.6,40112.0,269141.0,101528.0,22334.0,16106.0,1252225.0,115297.0,1367522.0,2.51,107600.0,640.0,,,270.0,204757.0,63958.0,182914.0,67086.0,30559.0
California,06,2012,38041430.0,12552658.0,19123657.0,18917773.0,35.5,58328.0,4865203.0,1861112.0,569482.0,364732.0,16778061.0,2151166.0,18929227.0,2.97,349400.0,1200.0,,,11821.0,2593099.0,886638.0,2599560.0,690569.0,380269.0
Colorado,08,2012,5187582.0,1996088.0,2586212.0,2601370.0,36.2,56765.0,818469.0,342776.0,76550.0,53211.0,2559194.0,216624.0,2775818.0,2.54,234900.0,934.0,,,3122.0,360111.0,115906.0,363757.0,104804.0,31252.0
Delaware,10,2012,917092.0,340308.0,472401.0,444691.0,39.2,58415.0,111921.0,52001.0,9864.0,8903.0,427114.0,41017.0,468131.0,2.62,226900.0,960.0,,,125.0,57070.0,21688.0,53618.0,20733.0,4398.0
District of Columbia,11,2012,632323.0,266662.0,333287.0,299036.0,33.7,66583.0,100904.0,77488.0,38125.0,16274.0,326957.0,37718.0,364675.0,2.22,460700.0,1235.0,,,56.0,35206.0,15839.0,43041.0,9483.0,155.0
Connecticut,09,2012,3590347.0,1357812.0,1840541.0,1749806.0,40.4,67276.0,503440.0,294155.0,73294.0,40248.0,1760162.0,189561.0,1949723.0,2.56,267800.0,1019.0,,,378.0,211001.0,80665.0,222726.0,78044.0,6253.0
Florida,12,2012,19317568.0,7197943.0,9876567.0,9441001.0,41.1,45040.0,2329936.0,874523.0,272260.0,146350.0,8277586.0,1080331.0,9357917.0,2.62,148200.0,954.0,,,1321.0,1114042.0,398859.0,1198906.0,493854.0,83471.0
Georgia,13,2012,9919945.0,3532908.0,5068892.0,4851053.0,35.7,47209.0,1140757.0,468599.0,123173.0,74746.0,4263543.0,528978.0,4792521.0,2.73,142300.0,837.0,,,347.0,707928.0,236143.0,675826.0,187687.0,41997.0
Idaho,16,2012,1595728.0,583106.0,797016.0,798712.0,35.2,45489.0,175020.0,56911.0,14927.0,11035.0,710247.0,61864.0,772111.0,2.69,154500.0,702.0,,,421.0,119537.0,34382.0,99823.0,36065.0,35254.0
Hawaii,15,2012,1392313.0,447748.0,691117.0,701196.0,38.3,66259.0,186586.0,66566.0,22483.0,10581.0,648504.0,49398.0,697902.0,3.01,496600.0,1379.0,,,6473.0,89909.0,29866.0,88703.0,33396.0,10878.0
Illinois,17,2012,12875255.0,4770194.0,6558602.0,6316653.0,37.0,55137.0,1684348.0,751407.0,175113.0,96485.0,6030591.0,682518.0,6713109.0,2.64,170600.0,868.0,,,559.0,842289.0,281611.0,845954.0,250351.0,52210.0
Indiana,18,2012,6537334.0,2480077.0,3320189.0,3217145.0,37.3,46974.0,643210.0,259870.0,55872.0,43157.0,3003089.0,288609.0,3291698.0,2.56,122700.0,715.0,,,554.0,440200.0,147263.0,409509.0,129962.0,32342.0
Iowa,19,2012,3074186.0,1227048.0,1550079.0,1524107.0,38.0,50957.0,368331.0,117508.0,29743.0,20738.0,1556772.0,87916.0,1644688.0,2.42,126300.0,661.0,,,370.0,199821.0,72113.0,182080.0,65412.0,60792.0
Kansas,20,2012,2885905.0,1113911.0,1451288.0,1434617.0,36.0,50241.0,362899.0,149868.0,33378.0,20097.0,1394404.0,97003.0,1491407.0,2.52,130100.0,711.0,,,111.0,206063.0,72201.0,175312.0,58751.0,37107.0
Kentucky,21,2012,4380415.0,1707004.0,2225476.0,2154939.0,38.4,41724.0,378979.0,185306.0,46602.0,28258.0,1867958.0,191844.0,2059802.0,2.49,120800.0,636.0,,,245.0,284716.0,96610.0,284878.0,98877.0,30793.0
Louisiana,22,2012,4601893.0,1719473.0,2353005.0,2248888.0,36.0,42944.0,433223.0,155282.0,45446.0,26117.0,2001905.0,193512.0,2195417.0,2.6,139500.0,747.0,,,409.0,315247.0,105999.0,279594.0,93616.0,24444.0
Maine,23,2012,1329192.0,554543.0,678478.0,650714.0,43.5,46709.0,171449.0,65911.0,16093.0,11276.0,646362.0,53326.0,699688.0,2.33,172300.0,744.0,,,635.0,74782.0,26725.0,79333.0,36161.0,15514.0
Maryland,24,2012,5884563.0,2157717.0,3035272.0,2849291.0,38.1,71122.0,795930.0,460951.0,115222.0,94884.0,2937440.0,264281.0,3201721.0,2.66,279900.0,1170.0,,,487.0,379624.0,127550.0,374596.0,117590.0,14439.0
Massachusetts,25,2012,6646144.0,2522394.0,3426391.0,3219753.0,39.5,65339.0,1011713.0,541323.0,132494.0,104415.0,3334794.0,308598.0,3643392.0,2.54,323800.0,1036.0,,,487.0,380107.0,159722.0,418454.0,140693.0,12801.0
Michigan,26,2012,9883360.0,3819068.0,5031931.0,4851429.0,39.5,46859.0,1062110.0,490025.0,103848.0,67420.0,4285132.0,544045.0,4829177.0,2.53,115700.0,748.0,,,468.0,609142.0,228849.0,608350.0,224611.0,48370.0
Minnesota,27,2012,5379139.0,2111943.0,2708398.0,2670741.0,37.6,58906.0,807626.0,272778.0,72103.0,42833.0,2786812.0,186027.0,2972839.0,2.48,178400.0,813.0,,,373.0,362428.0,106863.0,339970.0,108672.0,58753.0
Mississippi,28,2012,2984926.0,1090521.0,1542854.0,1442072.0,36.2,37095.0,249319.0,105946.0,24029.0,15722.0,1193047.0,152580.0,1345627.0,2.65,99800.0,666.0,,,183.0,206722.0,80277.0,184633.0,62390.0,21860.0
Missouri,29,2012,6021988.0,2359135.0,3068397.0,2953591.0,38.2,45321.0,670388.0,284631.0,65321.0,42330.0,2764577.0,259942.0,3024519.0,2.48,135000.0,706.0,,,369.0,397078.0,137537.0,363415.0,132300.0,42698.0
Montana,30,2012,1005141.0,408938.0,501683.0,503458.0,40.2,45076.0,138862.0,42619.0,13022.0,7426.0,482710.0,37280.0,519990.0,2.39,184800.0,681.0,,,126.0,65231.0,22504.0,58466.0,26137.0,24600.0
Nebraska,31,2012,1855525.0,733570.0,932426.0,923099.0,36.3,50723.0,233054.0,83862.0,20030.0,12716.0,956636.0,53727.0,1010363.0,2.46,128300.0,692.0,,,285.0,137419.0,39908.0,112920.0,39303.0,42963.0
Nevada,32,2012,2758931.0,1006605.0,1367067.0,1391864.0,36.8,49760.0,272846.0,95659.0,27821.0,15471.0,1230084.0,172282.0,1402366.0,2.7,150700.0,944.0,,,434.0,191351.0,54532.0,193937.0,62097.0,5596.0
New Hampshire,33,2012,1320718.0,519137.0,672430.0,648288.0,41.9,63280.0,201804.0,87156.0,15364.0,13567.0,692142.0,47922.0,740064.0,2.47,236000.0,967.0,,,593.0,70464.0,28136.0,84084.0,32009.0,4532.0
New Jersey,34,2012,8864590.0,3198799.0,4543154.0,4321436.0,39.4,69667.0,1359609.0,597429.0,147947.0,87198.0,4206029.0,471538.0,4677567.0,2.71,311600.0,1148.0,,,1002.0,549393.0,177203.0,589898.0,180873.0,11078.0
New Mexico,35,2012,2085538.0,764996.0,1050661.0,1034877.0,36.8,42558.0,202552.0,106967.0,22244.0,23525.0,870667.0,99454.0,970121.0,2.67,157500.0,753.0,,,2578.0,150670.0,47858.0,124993.0,47621.0,16341.0
New York,36,2012,19570261.0,7238922.0,10084389.0,9485872.0,38.1,56448.0,2531374.0,1371561.0,359112.0,181715.0,9099766.0,927351.0,10027117.0,2.62,280900.0,1079.0,,,2168.0,1178898.0,438253.0,1245775.0,387744.0,45229.0
North Carolina,37,2012,9752073.0,3731325.0,5001026.0,4751047.0,37.8,45150.0,1170056.0,436058.0,92150.0,77594.0,4268510.0,516566.0,4785076.0,2.55,150100.0,756.0,,,821.0,641600.0,222642.0,653712.0,214695.0,61567.0
North Dakota,38,2012,699628.0,290944.0,342037.0,357591.0,36.2,53585.0,89629.0,25163.0,7503.0,5580.0,379029.0,13065.0,392094.0,2.32,142500.0,644.0,,,31.0,47371.0,21098.0,41028.0,13261.0,23563.0
Ohio,39,2012,11544225.0,4554672.0,5901591.0,5642634.0,39.3,46829.0,1240747.0,528409.0,116545.0,75611.0,5285177.0,527315.0,5812492.0,2.47,127600.0,700.0,,,991.0,733927.0,253083.0,710345.0,254156.0,42043.0
Oklahoma,40,2012,3814820.0,1446667.0,1925013.0,1889807.0,36.3,44312.0,393930.0,142002.0,33095.0,22280.0,1694799.0,123635.0,1818434.0,2.56,114300.0,686.0,,,71.0,269847.0,86632.0,236922.0,79515.0,28083.0
Oregon,41,2012,3899353.0,1516957.0,1966564.0,1932789.0,38.9,49161.0,497130.0,212460.0,54182.0,35682.0,1738117.0,215292.0,1953409.0,2.51,223900.0,862.0,,,531.0,247870.0,82703.0,256057.0,93578.0,53323.0
Pennsylvania,42,2012,12763536.0,4958249.0,6534203.0,6229333.0,40.5,51230.0,1484305.0,665499.0,166599.0,119131.0,5931277.0,576117.0,6507394.0,2.49,163800.0,798.0,,,1484.0,748423.0,287467.0,771794.0,287730.0,55794.0
Rhode Island,44,2012,1050292.0,413083.0,543457.0,506835.0,39.8,54554.0,132903.0,64882.0,14832.0,11126.0,512801.0,52997.0,565798.0,2.44,234600.0,878.0,,,204.0,57958.0,28073.0,63595.0,22753.0,1982.0
